run,scenario,regime,Mean_Savings,Median_Savings,Savings_Rate,Gini_Wealth
33,baseline,US,61240632.06319084,1667070.9142463603,32.13448783757253,0.9329657941405893
34,baseline,US,58146456.691207655,1899594.8129550768,25.63718278733504,0.9347049757971229
35,baseline,US,49252134.47567187,1926000.1188426302,29.015905733363184,0.9287825245405781
36,baseline,US,53770762.68852717,1593573.6001618528,37.679120437195586,0.9246533795539558
37,baseline,US,48264390.92654665,1731724.9872927081,26.290519579197113,0.9211024332120172
38,baseline,US,41104777.81422204,1820146.3499150919,32.50812134363391,0.9060980929563001
39,baseline,US,45774731.24405049,1672749.0161043243,33.837123113457075,0.9181159974551418
40,baseline,US,42841862.61975185,1657135.3709291602,35.93658865845378,0.9273779521592658
41,baseline,US,50522261.37644701,1768347.9834007174,30.534634286661124,0.932157493227052
42,baseline,US,73319962.06690975,1767694.1039927518,28.184145509475844,0.9370001856687946
43,baseline,US,53084500.121913545,1967259.6475617571,30.355474904796473,0.917100360843309
44,baseline,US,68626401.60944839,1789679.1571015157,32.862318720481234,0.9355915496406504
45,baseline,US,46805901.12405127,1538388.8657550449,24.698647484458277,0.9332112280876497
46,baseline,US,58641343.08472437,1646984.4613341852,23.874564164887186,0.9430643193540309
47,baseline,US,35564200.130355045,1487395.284855791,33.927001969114,0.904764748033362
48,baseline,US,78144516.85402755,1890961.4270808944,27.357841747695364,0.9391032556588561
49,baseline,US,41233277.09903525,1480617.3114670734,35.05075067715931,0.9115538232420575
50,baseline,US,50430289.59302116,1519166.248280943,32.93649284264169,0.9290063631406844
51,baseline,US,44092256.776687585,1827545.9604386396,33.44365364430652,0.9187077657022755
52,baseline,US,59731454.17510442,1599022.818403263,34.68674418151469,0.9319138168524299
53,baseline,US,46097071.732467964,1649690.2683610301,29.607951329067944,0.9322063658608677
54,baseline,US,61812933.52787805,1900743.9400551775,29.06893543381131,0.9314919421681476
55,baseline,US,54328832.90001314,1607915.2914629597,35.36101054842495,0.931130669681983
56,baseline,US,53216574.84030488,1649876.4887416787,31.86109794747268,0.9189291079390733
57,baseline,US,65348731.776613325,1589417.5220517293,26.246888135758883,0.941685047144796
58,baseline,US,59999972.17386642,1776368.7195982947,33.6482431652837,0.9339122479494288
59,baseline,US,48472377.2827162,1755393.2036688863,32.27172724672446,0.9221452467255329
60,baseline,US,75837438.65000604,1735837.8532285648,30.219535165629164,0.9434107618884835
61,baseline,US,42400308.80547853,1671207.459588667,30.52426520545595,0.914628527022959
62,baseline,US,57719827.64787842,1686740.9913463544,29.80241596615752,0.9289454302031919
63,baseline,US,50054120.84646097,1557458.9630834013,27.723251433547414,0.9218476895281582
64,baseline,US,46168429.3399337,1589741.3696537707,30.42805482950756,0.9246592527240092
65,baseline,US,33939928.48844554,1823572.8807640881,39.61945786706237,0.8973933844369024
66,baseline,US,48447442.327467754,1916221.329855249,29.698150972217938,0.9145963829607111
67,baseline,US,51621062.192251645,1811563.4182491535,30.362096974561464,0.9304171617069719
68,baseline,US,43279775.11134737,1681778.1173740742,34.38247061942912,0.9222651345642832
69,baseline,US,55905057.485503584,1598236.4989475412,26.14007384228911,0.9364279235580399
70,baseline,US,48629558.41544545,1700718.493262046,25.21613969164326,0.9322679956598521
71,baseline,US,56585532.31780199,1601475.767266971,29.404266287507667,0.9343436721643967
72,baseline,US,69645911.81552926,1858991.580412791,25.73286829130467,0.9372318099824777
73,baseline,US,47882588.1830681,1575237.0237801136,26.32089237725436,0.9360452701766793
74,baseline,US,51694832.17762513,1693830.151322328,41.72550338021292,0.9252756277740746
