income,net_wealth
16213.677355,350430.0
15132.765531,106020.0
16213.677355,219800.0
16213.677355,115220.0
15132.765531,149820.0
48641.032064,20690.0
46479.208417,21090.0
46479.208417,21390.0
45398.296593,21400.0
46479.208417,17900.0
12970.941884,100.0
12970.941884,100.0
14051.853707,100.0
12970.941884,100.0
14051.853707,100.0
3891.2825651,101300.0
3891.2825651,215300.0
3891.2825651,154300.0
3891.2825651,145300.0
3891.2825651,77300.0
10809.118236,5000.0
10809.118236,5400.0
10809.118236,6320.0
10809.118236,5100.0
10809.118236,5100.0
75663.827655,1167030.0
75663.827655,1031930.0
81068.386774,985230.0
79987.47495,970130.0
74582.915832,971430.0
86472.945892,20700.0
86472.945892,20800.0
86472.945892,20700.0
86472.945892,20700.0
86472.945892,20800.0
1020380.7615,6288100.0
1020380.7615,6272100.0
1020380.7615,6289100.0
1020380.7615,6285100.0
1020380.7615,6270900.0
5577505.01,55896000.0
5923396.7936,237280300.0
5804496.493,55022000.0
5880160.3206,97542200.0
5458604.7094,223326000.0
281037.07415,921100.0
281037.07415,919730.0
281037.07415,919780.0
281037.07415,917530.0
281037.07415,918830.0
255095.19038,800000.0
256176.1022,799000.0
262661.57315,799000.0
256176.1022,799000.0
232396.04208,801000.0
22699.148297,75090.0
23780.06012,45670.0
22699.148297,60220.0
21618.236473,65005.0
23780.06012,61900.0
297250.7515,4097000.0
297250.7515,4097000.0
297250.7515,4098000.0
297250.7515,4098000.0
297250.7515,4098000.0
64854.709419,-54320.0
64854.709419,-54320.0
64854.709419,-54320.0
64854.709419,-54320.0
64854.709419,-54320.0
63773.797595,12980.0
57288.326653,1700.0
103767.53507,27960.0
59450.150301,24640.0
36751.002004,-2970.0
79987.47495,242800.0
81068.386774,241800.0
81068.386774,247800.0
79987.47495,247800.0
81068.386774,241800.0
127547.59519,155900.0
126466.68337,160900.0
126466.68337,160900.0
127547.59519,150000.0
127547.59519,157900.0
6485.4709419,-17495.0
6485.4709419,-24495.0
6485.4709419,-27595.0
6485.4709419,-9480.0
6485.4709419,-8490.0
136194.88978,412500.0
136194.88978,413500.0
136194.88978,413500.0
136194.88978,413500.0
136194.88978,413500.0
2561761.022,9803500.0
2777943.3868,9820500.0
2669852.2044,9820500.0
3167071.6433,9348500.0
3253544.5892,9803500.0
1189003.006,10354000.0
1221430.3607,12147000.0
1189003.006,14706000.0
1232239.479,11836000.0
1124148.2966,9472000.0
30265.531062,28221.0
25941.883768,27321.0
22699.148297,28321.0
23780.06012,28321.0
22699.148297,28121.0
114576.65331,936000.0
114576.65331,934000.0
114576.65331,938000.0
114576.65331,934900.0
114576.65331,937900.0
237800.6012,518750.0
237800.6012,449750.0
237800.6012,472750.0
237800.6012,492750.0
237800.6012,502750.0
102686.62325,105400.0
102686.62325,114400.0
102686.62325,111400.0
102686.62325,115400.0
102686.62325,94200.0
404261.02204,1715710.0
404261.02204,1351800.0
404261.02204,1005100.0
404261.02204,1158800.0
404261.02204,2059900.0
27022.795591,58000.0
27022.795591,57000.0
27022.795591,55000.0
27022.795591,67000.0
27022.795591,68000.0
20537.324649,14000.0
21618.236473,14000.0
17294.589178,14000.0
20537.324649,15000.0
17294.589178,14000.0
72421.092184,129980.0
67016.533066,115210.0
69178.356713,111530.0
72421.092184,167710.0
62692.885772,76840.0
125385.77154,373600.0
103767.53507,179000.0
126466.68337,304300.0
114576.65331,326210.0
121062.12425,189500.0
197806.86373,1360000.0
196725.9519,1360000.0
196725.9519,1360000.0
196725.9519,1359000.0
196725.9519,1360000.0
23780.06012,300.0
23780.06012,300.0
23780.06012,300.0
24860.971944,300.0
23780.06012,300.0
136194.88978,379190.0
145923.09619,457400.0
159974.9499,414300.0
139437.62525,500500.0
161055.86172,398600.0
35670.09018,573200.0
34589.178357,577000.0
36751.002004,567000.0
38912.825651,573800.0
38912.825651,598000.0
5577505.01,135544000.0
5599123.2465,136019000.0
5566695.8918,133907000.0
5534268.5371,134414000.0
5955824.1483,134447000.0
35670.09018,360.0
37831.913828,90.0
39993.737475,20.0
34589.178357,10.0
30265.531062,180.0
72421.092184,225570.0
72421.092184,225570.0
72421.092184,225570.0
72421.092184,225570.0
72421.092184,225570.0
86472.945892,316100.0
86472.945892,354100.0
86472.945892,324100.0
86472.945892,336100.0
86472.945892,315200.0
58369.238477,917900.0
82149.298597,841700.0
65935.621242,552500.0
62692.885772,1450100.0
57288.326653,760500.0
36751.002004,84200.0
44317.38477,190000.0
41074.649299,111100.0
36751.002004,79530.0
35670.09018,88400.0
611796.09218,7576000.0
611796.09218,7575000.0
611796.09218,7575000.0
611796.09218,7575000.0
612877.00401,7574000.0
30265.531062,-19800.0
30265.531062,-19800.0
30265.531062,-19800.0
30265.531062,-19900.0
30265.531062,-19800.0
62692.885772,318560.0
62692.885772,318560.0
61611.973948,318560.0
61611.973948,319560.0
62692.885772,317560.0
787984.71944,16585200.0
666922.59519,16909000.0
867972.19439,19089500.0
695026.30261,17701500.0
629090.68136,16760000.0
157813.12625,574460.0
158894.03808,587550.0
159974.9499,580360.0
159974.9499,600370.0
158894.03808,565730.0
2788752.505,173333000.0
2842798.0962,163362000.0
2518524.5491,157947600.0
2399624.2485,119981400.0
2540142.7856,176387000.0
19456.412826,-43599.0
19456.412826,-38599.0
19456.412826,-35599.0
19456.412826,-39599.0
20537.324649,-46599.0
1077669.0882,60918000.0
977144.28858,56419000.0
884185.87174,68417000.0
859324.8998,56418000.0
1003086.1723,56418000.0
85392.034068,100000.0
88634.769539,101000.0
96201.152305,100000.0
97282.064128,100000.0
90796.593186,101000.0
85392.034068,239100.0
85392.034068,239900.0
85392.034068,243900.0
85392.034068,263500.0
85392.034068,238800.0
289684.36874,5958800.0
287522.54509,5891200.0
294008.01603,5946800.0
287522.54509,6343000.0
288603.45691,6203300.0
2496906.3126,14985000.0
2507715.4309,15005000.0
2637424.8497,14912000.0
2648233.9679,14725000.0
2496906.3126,14869000.0
11890.03006,85621.0
11890.03006,85621.0
11890.03006,85621.0
11890.03006,86621.0
11890.03006,86621.0
90796.593186,136000.0
90796.593186,119000.0
90796.593186,102200.0
90796.593186,95770.0
