income,net_wealth
65900,380185.1199750259
45500,461598.92436595535
21300,369530.48
102000,381686.68114467134
137000,426767.30870391964
46100,1209792.52
5010,906200.0
88200,1493120.1743658567
15500,751000.0
22000,393889.96
29400,703441.76
43600,1051169.724818
39200,382579.9697420903
67300,1616904.1600000001
66100,903220.0
20400,916830.96
32600,953112.48
32800,1238054.4
12300,1236394.435487032
12900,36000.0
15300,129300.0
31300,659464.52
14900,15142.0
108000,953280.0
20100,583501.76
43700,1005777.9118332076
27200,760199.9587881565
16000,553056.1799999999
33800,1177920.0
69600,751179.2135565167
8180,132023.0
14100,217093.6
19900,137000.0
149000,1482663.613890219
37100,1556168.2799999998
90000,1217889.4265266065
68900,2431868.5
57400,1261190.8
31000,135750.0
28700,715860.8
72400,976313.2058230452
48000,668870.8546764373
12300,39574.453275215594
25900,96350.0
61300,1536248.3786483898
35700,782565.3410910578
56000,1793647.84
46200,885688.87575
15900,306873.44
15900,142870.953100401
23400,46986.0
103000,3129790.2
66900,818495.4744937585
17600,518091.36
56000,404729.07535406196
66800,2401000.0
56700,2915345.4652941604
29500,512700.0
42800,516750.0
48400,943500.0
80000,186500.0
40900,1750971.52
125000,3382320.0
86500,531300.0
15000,1265150.6449275622
62700,618748.0
35100,159298.92996930302
81700,196578.27087436424
26800,583354.2747884169
8670,57069.28
81200,1846763.5425269604
14100,611640.72
58200,1393177.5889495276
21700,1896718.36
74100,966455.4978964751
47400,729868.3162300135
108000,2001488.0
52900,1390479.56
45700,1848191.32
16800,658772.6005846588
9060,5000.0
53300,433239.62698098505
46700,189426.7579645836
28600,805116.3200000001
43700,1013415.92
17700,540832.96
49500,557310.6561184245
76500,1070068.2882407666
53400,1288492.0218737954
13500,1332500.0
28000,254109.0
311000,1413561.0
24200,1021578.48
44500,790640.0
461000,5474559.0
37000,1668924.24
39900,57606.0
73300,1431090.6400000001
56500,3406334.0
28900,363839.6227573084
14600,19400.0
34200,651169.24
24800,123010.0
31000,304292.7064212875
15500,193559.0
24200,656519.0998345525
16200,3265.0
19500,89683.0
19400,315374.20958079287
13700,47904.12
12900,61113.896298151456
43900,255077.82171726227
48200,380130.8361698775
33700,272797.1171318374
19800,-7725.0
91600,470615.53383649327
20500,82500.0
19500,18873.0
24200,511001.0
50200,870236.6411837689
9610,282276.03178045596
72600,335246.0
40600,1060504.0600196677
31500,520067.2
23000,210700.0
86600,458181.01987930166
24200,243805.0
38300,589528.7109375
15800,393171.16000000003
21100,496496.16
38500,1191267.16
44300,1097440.5979046794
15800,15050.0
16800,15869.0
27200,428305.0
30300,419810.12
108000,441862.0
45000,467250.0
78600,30350.0
20400,314200.95999999996
46100,27801.0
9190,15100.0
62200,319576.3481644535
23000,53867.769097636534
45500,462880.0
67400,1156400.0
17200,15030.0
21900,417288.72
17200,71600.0
23800,1632650.78125
34600,612490.2303147996
37200,396955.82311341236
47900,1214801.28
19100,16650.0
51500,1172631.52
26900,438455.7715122588
8620,98725.0
61700,953463.9077310814
28800,217666.127488194
42000,57386.0
23500,278694.4
24200,48161.897006301595
14700,29396.0
56300,374398.145722069
38000,1087172.0
36800,126660.0
46300,919197.4438710872
46700,495572.635594612
29800,603830.1453857732
54500,630803.3507147736
44600,1116562.6
15400,122200.0
32700,318204.79265581013
28200,829904.52
16800,252653.76
24300,97080.3175157437
20800,479537.9
26600,445505.0
24100,500233.60000000003
12100,416890.32
67900,941465.7785322807
14000,458394.178391157
33100,344247.8742730758
63900,1215597.7641378553
12600,209469.28
11600,6374345.812827638
68300,451815.27694022685
52500,360480.0
12100,266221.44
39900,811615.8425394216
26200,154442.2
49200,247398.73099839652
80200,2567161.08
61500,1220908.8083824934
10600,184341.2
47000,984922.52
34200,788457.5421169101
13200,666397.2
11600,84700.88
16100,305100.0
23800,630401.6799999999
20200,538554.3164917063
63300,671017.1653971374
32200,35536.486678484376
20100,326305.4
25200,182760.43266558764
54500,644198.728390173
42800,1664294.6749999998
30600,634919.8200000001
37400,844408.88
18100,46970.0
27100,6526.0
24500,576029.0
28100,391263.32
42900,580514.1816698674
32900,33632.0
52600,382986.77418000007
25800,446000.0
45200,406716.44
32500,169789.0
39000,268313.0
27700,690981.72
13800,438201.28
